"主项编码","主项名称","关联编码","关联名称","领域标识"
"XA03AXE020X0","(二甲硅油)","(00310902)","(内镜|胃镜|肠镜)",""
"XA03AXX007X0","(西甲硅油)","(00310902)","(内镜|胃镜|肠镜)",""
"XA11EBS153B0","(水溶性维生素)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XA11JAZ022B0","(脂溶性维生素Ⅰ)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XA11JAZ023B0","(脂溶性维生素Ⅰ)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB03BAJ038B0","(甲钴胺)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB03BAX052B0","(腺苷钴胺)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAD203B0","(多种维生素)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAD252B0","(多种油脂肪乳)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAF145B0","(复方氨基酸)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAF160B0","(复方氨基酸)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAF164B0","(复方氨基酸)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAJ113B0","(结构脂肪乳)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05BAX241B0","(小儿多种维生素注射液)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XB05XBB120B0","(丙氨酰谷氨酰胺)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XJ01CRP017B0","(哌拉西林他唑巴坦)","(00250502005)","(药敏试验)",""
"XJ01CRP018B0","(哌拉西林舒巴坦)","(00250502005)","(药敏试验)",""
"XJ01DBT075B0","(头孢硫脒)","(00250502005)","(药敏试验)",""
"XJ01DCT098B0","(头孢替安)","(00250502005)","(药敏试验)",""
"XJ01DCT102B0","(头孢西丁)","(00250502005)","(药敏试验)",""
"XJ01DDL014B0","(拉氧头孢)","(00250502005)","(药敏试验)",""
"XJ01DDT081B0","(头孢哌酮舒巴坦)","(00250502005)","(药敏试验)",""
"XJ01DET084B0","(头孢匹罗)","(00250502005)","(药敏试验)",""
"XJ01DFA194B0","(氨曲南)","(00250502005)","(药敏试验)",""
"XJ01MAM122B0","(莫西沙星)","(00250502005)","(药敏试验)",""
"XJ01XBD198B0","(多粘菌素)","(00250502005)","(药敏试验)",""
"XN01AXA327B0","(艾司氯胺酮)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XN01AXH115B0","(环泊酚)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XN01BBZ055B0","(左布比卡因)","(00330100002)","(阻滞麻醉)",""
"XN02AFN098B0","(纳布啡)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XN05CCS278K0","(水合氯醛)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XN05CDR099B0","(苯磺酸瑞马唑仑)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XN05CDR099B0","(甲苯磺酸瑞马唑仑)","(003301000050)","(静脉麻醉|全身麻醉)",""
"XV01AAC028X0","(肠内营养剂)","(00120800002)","(胃肠高营养治疗|肠内高营养治疗|肠内营养)",""
"XV01AAC029X0","(肠内营养剂)","(00120800002)","(胃肠高营养治疗|肠内高营养治疗|肠内营养)",""
"XV01AAC154P0","(肠内营养粉)","(00120800002)","(胃肠高营养治疗|肠内高营养治疗|肠内营养)",""
"XV02DXD201B0","(多种微量元素)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XV02DXD202B0","(多种微量元素)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XV02DXD249B0","(多种微量元素)","(00120400008)","(静脉高营养治疗|静脉营养)",""
"XV08DAQ134B0","(全氟丙烷人血白蛋白微球)","(0022030)","(显像|彩色多普勒)",""
"XV08DAQ173B0","(全氟丁烷微球)","(0022030)","(显像|彩色多普勒)",""
