"主项编码","主项名称","排查机构","排查部门","领域标识"
"00250601002","粪寄生虫卵集卵镜检","","","化验"
"00311503011","脑反射治疗","","","精神治疗"
"003315120170000","骨移植术","","","骨科"
"00331506024","关节骨软骨损伤修复","","","骨科"
"00340200043","疼痛综合评定","","","麻醉"
"00250601003","粪寄生虫卵计数","","","化验"
"00250601001","粪寄生虫镜检","","","化验"
"00230200055","骨密度测定","","","检查"
"004200000010000","骨折手法整复术","","","骨科"
"00250501026","真菌涂片检查","","","化验"
"00220302012","临床操作的彩色多普勒超声引导","","","麻醉"
"00311503010","脑电生物反馈治疗","","","精神治疗"
"003107010120000","心电向量图","","","检查"
"00330100016","控制性降压","","","麻醉"
